session_id,account_id,ip_address,device_fingerprint,login_time,mfa_changed,geo_location,login_success,failed_attempts_prior
SESS-000023,ACCT-00098,56.248.146.244,DEV-1804,2026-03-04T11:04:00,False,Atlanta,True,1
SESS-000024,ACCT-00147,213.89.165.112,DEV-3998,2026-03-04T13:57:00,False,Houston,True,1
SESS-000025,ACCT-00150,255.228.7.18,DEV-5327,2026-03-04T09:53:00,False,Chicago,True,1
SESS-000026,ACCT-00170,120.26.235.210,DEV-9856,2026-03-04T13:18:00,False,Chicago,True,0
SESS-000027,ACCT-00023,170.14.132.25,DEV-9941,2026-03-04T11:24:00,False,Los Angeles,True,0
SESS-000028,ACCT-00095,147.229.75.230,DEV-2834,2026-03-05T02:59:00,False,Los Angeles,True,1
SESS-000029,ACCT-00006,129.148.15.209,DEV-2156,2026-03-05T00:20:00,False,Boston,True,1
SESS-000030,ACCT-00067,42.61.231.243,DEV-6833,2026-03-04T10:43:00,False,Boston,True,0
SESS-000031,ACCT-00147,96.224.5.139,DEV-3827,2026-03-04T23:18:00,False,New York,True,0
SESS-000032,ACCT-00067,122.163.242.171,DEV-2535,2026-03-04T20:17:00,False,Chicago,True,0
SESS-000033,ACCT-00098,153.206.46.196,DEV-2376,2026-03-04T16:13:00,False,Chicago,True,1
SESS-000034,ACCT-00173,203.84.216.144,DEV-9268,2026-03-04T15:13:00,False,Chicago,True,1
SESS-000035,ACCT-00186,242.244.25.69,DEV-1706,2026-03-05T01:44:00,False,Dallas,True,1
SESS-000036,ACCT-00059,232.45.216.29,DEV-6809,2026-03-04T14:49:00,False,Denver,True,0
SESS-000037,ACCT-00127,64.90.249.73,DEV-4672,2026-03-05T03:55:00,False,Seattle,True,1
SESS-000038,ACCT-00091,149.203.93.75,DEV-1740,2026-03-04T21:42:00,False,Dallas,True,1
SESS-000039,ACCT-00180,97.196.127.185,DEV-5338,2026-03-05T02:48:00,False,Dallas,True,1
SESS-000040,ACCT-00007,80.77.33.114,DEV-1190,2026-03-04T23:27:00,False,Chicago,True,1
SESS-000041,ACCT-00027,252.182.124.212,DEV-7662,2026-03-04T11:27:00,False,Miami,True,0
SESS-000042,ACCT-00001,246.113.136.137,DEV-7555,2026-03-05T01:35:00,False,Boston,True,0
SESS-000043,ACCT-00158,36.132.202.123,DEV-NEW-29836,2026-03-04T20:52:00,False,Unknown,True,4
SESS-000044,ACCT-00109,23.153.37.55,DEV-NEW-24804,2026-03-04T08:09:00,False,Unknown,True,6
SESS-000045,ACCT-00092,164.83.104.183,DEV-7674,2026-03-05T02:28:00,False,Los Angeles,True,0
SESS-000046,ACCT-00055,229.0.174.48,DEV-5073,2026-03-04T19:54:00,False,New York,True,1
SESS-000047,ACCT-00083,103.170.11.233,DEV-3712,2026-03-04T09:13:00,False,Seattle,True,1
SESS-000048,ACCT-00193,68.63.49.110,DEV-6208,2026-03-04T10:56:00,False,New York,True,0
SESS-000049,ACCT-00179,202.213.205.217,DEV-2035,2026-03-04T06:57:00,False,Atlanta,True,1
SESS-000050,ACCT-00192,33.132.21.140,DEV-NEW-80915,2026-03-04T23:36:00,False,Lagos,True,10
SESS-000051,ACCT-00142,21.226.138.106,DEV-9470,2026-03-04T15:16:00,False,Los Angeles,True,0
SESS-000052,ACCT-00084,161.192.135.140,DEV-7917,2026-03-04T19:27:00,False,Dallas,True,0
SESS-000053,ACCT-00179,179.225.159.239,DEV-9302,2026-03-04T19:30:00,False,Denver,True,1
SESS-000054,ACCT-00177,84.174.133.251,DEV-6137,2026-03-04T09:04:00,False,New York,True,0
SESS-000055,ACCT-00032,174.92.29.217,DEV-8827,2026-03-05T02:26:00,False,Seattle,True,0
SESS-000056,ACCT-00179,12.179.58.19,DEV-8773,2026-03-05T05:42:00,False,Los Angeles,True,1
SESS-000057,ACCT-00175,214.202.106.108,DEV-6150,2026-03-04T13:45:00,False,Houston,True,1
SESS-000058,ACCT-00182,132.133.167.96,DEV-1914,2026-03-04T09:24:00,False,Denver,True,1
SESS-000059,ACCT-00002,168.154.69.77,DEV-NEW-79514,2026-03-05T02:16:00,True,Unknown,True,3
SESS-000060,ACCT-00076,175.140.222.111,DEV-9151,2026-03-04T18:48:00,False,Denver,True,0
SESS-000061,ACCT-00084,42.7.159.81,DEV-7940,2026-03-04T14:56:00,False,Seattle,True,1
SESS-000062,ACCT-00194,229.14.230.201,DEV-6054,2026-03-05T00:20:00,False,Seattle,True,0
SESS-000063,ACCT-00050,8.217.66.63,DEV-7054,2026-03-05T02:46:00,False,Miami,True,1
SESS-000064,ACCT-00098,48.214.172.180,DEV-5738,2026-03-05T03:37:00,False,New York,True,0
SESS-000065,ACCT-00102,156.177.117.237,DEV-1879,2026-03-05T02:36:00,False,New York,True,1
SESS-000066,ACCT-00042,45.77.150.47,DEV-8404,2026-03-04T10:02:00,False,Denver,True,1
SESS-000067,ACCT-00178,103.68.161.157,DEV-2103,2026-03-04T16:36:00,False,Denver,True,0
SESS-000068,ACCT-00027,182.51.47.96,DEV-NEW-75976,2026-03-04T15:35:00,False,Bucharest,True,9
SESS-000069,ACCT-00016,4.55.242.151,DEV-NEW-77668,2026-03-05T00:19:00,False,Shenzhen,True,10
SESS-000070,ACCT-00144,45.183.227.239,DEV-1223,2026-03-04T08:42:00,False,Miami,True,1
SESS-000071,ACCT-00035,203.134.84.164,DEV-7963,2026-03-04T19:56:00,False,Los Angeles,True,0
SESS-000072,ACCT-00187,14.104.128.59,DEV-8843,2026-03-04T11:37:00,False,Seattle,True,0
SESS-000073,ACCT-00111,187.197.24.119,DEV-6740,2026-03-05T02:05:00,False,Chicago,True,1
SESS-000074,ACCT-00068,80.65.63.172,DEV-4810,2026-03-04T11:58:00,False,Boston,True,1
SESS-000075,ACCT-00065,13.16.219.66,DEV-6005,2026-03-04T15:09:00,False,Seattle,True,1
SESS-000076,ACCT-00167,223.100.39.29,DEV-3292,2026-03-04T10:58:00,False,Houston,True,0
SESS-000077,ACCT-00183,198.251.43.116,DEV-8182,2026-03-04T15:44:00,False,Denver,True,0
SESS-000078,ACCT-00063,165.85.250.44,DEV-1503,2026-03-05T04:01:00,False,Houston,True,1
SESS-000079,ACCT-00176,230.243.181.183,DEV-1206,2026-03-04T08:29:00,False,Boston,True,0
SESS-000080,ACCT-00018,247.126.21.66,DEV-6389,2026-03-04T19:12:00,False,Houston,True,0
SESS-000081,ACCT-00099,84.74.136.160,DEV-4759,2026-03-04T13:50:00,False,Seattle,True,0
SESS-000082,ACCT-00079,202.53.35.184,DEV-NEW-61948,2026-03-05T05:53:00,False,Shenzhen,True,7
SESS-000083,ACCT-00132,89.88.142.66,DEV-5167,2026-03-04T20:30:00,False,Seattle,True,1
SESS-000084,ACCT-00068,54.185.33.122,DEV-4562,2026-03-05T00:08:00,False,Atlanta,True,0
SESS-000085,ACCT-00004,194.164.123.165,DEV-3020,2026-03-05T04:13:00,False,Chicago,True,1
SESS-000086,ACCT-00129,224.197.217.253,DEV-9645,2026-03-04T14:43:00,False,Boston,True,0
SESS-000087,ACCT-00196,79.161.246.149,DEV-3176,2026-03-04T08:04:00,False,Atlanta,True,0
SESS-000088,ACCT-00071,36.129.192.60,DEV-1596,2026-03-05T05:14:00,False,Los Angeles,True,1
SESS-000089,ACCT-00182,34.104.115.152,DEV-8365,2026-03-04T15:08:00,False,Chicago,True,0
SESS-000090,ACCT-00061,39.57.255.8,DEV-7420,2026-03-04T09:31:00,False,Chicago,True,0
SESS-000091,ACCT-00045,237.25.108.43,DEV-3387,2026-03-04T23:34:00,False,Los Angeles,True,0
SESS-000092,ACCT-00030,45.1.8.17,DEV-NEW-78422,2026-03-04T13:51:00,False,Shenzhen,True,9
SESS-000093,ACCT-00030,131.246.197.32,DEV-NEW-11468,2026-03-04T07:01:00,True,Unknown,True,7
SESS-000094,ACCT-00049,74.31.120.230,DEV-5740,2026-03-04T09:10:00,False,Seattle,True,0
SESS-000095,ACCT-00165,131.24.247.71,DEV-7899,2026-03-05T02:07:00,False,Boston,True,0
SESS-000096,ACCT-00050,222.161.50.9,DEV-1059,2026-03-04T19:56:00,False,Houston,True,0
SESS-000097,ACCT-00118,235.93.1.95,DEV-5570,2026-03-04T19:47:00,False,Seattle,True,1
SESS-000098,ACCT-00113,6.23.223.111,DEV-7388,2026-03-04T17:18:00,False,Denver,True,1
SESS-000099,ACCT-00024,101.189.153.223,DEV-NEW-21343,2026-03-05T04:05:00,False,Lagos,True,6
SESS-000100,ACCT-00073,139.165.51.103,DEV-NEW-90493,2026-03-04T21:15:00,True,Unknown,True,10
SESS-000101,ACCT-00011,95.99.220.108,DEV-9982,2026-03-04T06:30:00,False,Houston,True,1
SESS-000102,ACCT-00142,186.207.81.100,DEV-8522,2026-03-05T00:14:00,False,New York,True,0
SESS-000103,ACCT-00139,134.60.241.136,DEV-8951,2026-03-05T00:57:00,False,Dallas,True,0
SESS-000104,ACCT-00094,110.92.185.117,DEV-NEW-20162,2026-03-05T02:11:00,False,Unknown,True,9
SESS-000105,ACCT-00006,33.11.44.34,DEV-8071,2026-03-04T14:04:00,False,Seattle,True,1
SESS-000106,ACCT-00162,213.95.194.4,DEV-5959,2026-03-05T01:04:00,False,Los Angeles,True,0
SESS-000107,ACCT-00195,95.71.37.201,DEV-8552,2026-03-05T01:30:00,False,Seattle,True,1
SESS-000108,ACCT-00131,118.249.233.75,DEV-2478,2026-03-04T10:01:00,False,Chicago,True,1
SESS-000109,ACCT-00076,201.38.49.139,DEV-3370,2026-03-04T12:18:00,False,Miami,True,0
SESS-000110,ACCT-00156,241.70.223.69,DEV-3900,2026-03-04T19:44:00,False,Chicago,True,0
SESS-000111,ACCT-00155,132.38.230.14,DEV-5330,2026-03-04T17:24:00,False,Seattle,True,1
SESS-000112,ACCT-00034,89.150.190.125,DEV-1743,2026-03-05T00:53:00,False,Seattle,True,1
SESS-000113,ACCT-00200,217.72.64.217,DEV-7015,2026-03-04T06:05:00,False,Atlanta,True,0
SESS-000114,ACCT-00182,17.204.112.237,DEV-6606,2026-03-04T07:41:00,False,Denver,True,1
SESS-000115,ACCT-00014,212.69.142.217,DEV-8700,2026-03-04T13:12:00,False,Chicago,True,0
SESS-000116,ACCT-00144,2.29.45.125,DEV-9522,2026-03-04T15:33:00,False,Boston,True,0
SESS-000117,ACCT-00042,62.46.69.108,DEV-2187,2026-03-04T21:26:00,False,Denver,True,1
SESS-000118,ACCT-00002,202.179.30.24,DEV-2903,2026-03-04T08:00:00,False,Dallas,True,1
SESS-000119,ACCT-00001,227.55.44.81,DEV-4046,2026-03-04T21:49:00,False,Denver,True,0
SESS-000120,ACCT-00192,59.225.27.211,DEV-3230,2026-03-04T18:22:00,False,Houston,True,0
SESS-000121,ACCT-00009,152.160.7.2,DEV-8927,2026-03-04T20:41:00,False,Miami,True,0
SESS-000122,ACCT-00130,144.167.150.59,DEV-3307,2026-03-04T16:39:00,False,Dallas,True,1
SESS-000123,ACCT-00106,55.211.176.34,DEV-5212,2026-03-05T01:33:00,False,Miami,True,1
SESS-000124,ACCT-00197,246.72.242.52,DEV-6093,2026-03-04T09:00:00,False,Boston,True,0
SESS-000125,ACCT-00055,10.132.170.12,DEV-3518,2026-03-04T08:24:00,False,Seattle,True,1
SESS-000126,ACCT-00057,120.151.109.249,DEV-6897,2026-03-04T08:20:00,False,Atlanta,True,1
SESS-000127,ACCT-00135,87.77.215.136,DEV-1990,2026-03-04T14:15:00,False,Denver,True,1
SESS-000128,ACCT-00140,115.99.112.254,DEV-5118,2026-03-04T20:39:00,False,Miami,True,0
SESS-000129,ACCT-00141,82.116.195.236,DEV-5881,2026-03-04T12:02:00,False,Denver,True,0
SESS-000130,ACCT-00139,14.228.227.238,DEV-NEW-46267,2026-03-04T17:24:00,True,Lagos,True,10
SESS-000131,ACCT-00159,94.203.81.53,DEV-3994,2026-03-04T08:43:00,False,New York,True,0
SESS-000132,ACCT-00139,28.21.252.162,DEV-6070,2026-03-04T17:04:00,False,New York,True,0
SESS-000133,ACCT-00060,26.236.198.25,DEV-1312,2026-03-04T08:50:00,False,Chicago,True,1
SESS-000134,ACCT-00076,175.199.27.176,DEV-3902,2026-03-04T21:11:00,False,Chicago,True,0
SESS-000135,ACCT-00104,236.119.161.210,DEV-5391,2026-03-04T18:39:00,False,Los Angeles,True,0
SESS-000136,ACCT-00001,35.93.224.231,DEV-6140,2026-03-05T04:45:00,False,Dallas,True,1
SESS-000137,ACCT-00016,195.25.40.82,DEV-NEW-24548,2026-03-04T20:15:00,True,Bucharest,True,5
SESS-000138,ACCT-00089,176.132.225.163,DEV-6567,2026-03-05T04:20:00,False,New York,True,1
SESS-000139,ACCT-00073,26.226.97.217,DEV-NEW-26926,2026-03-04T22:48:00,False,Shenzhen,True,3
SESS-000140,ACCT-00091,173.187.14.234,DEV-4778,2026-03-05T02:08:00,False,Los Angeles,True,0
SESS-000141,ACCT-00003,246.110.155.198,DEV-1199,2026-03-04T15:49:00,False,Houston,True,0
SESS-000142,ACCT-00001,241.16.109.110,DEV-1747,2026-03-04T10:18:00,False,Boston,True,1
SESS-000143,ACCT-00017,161.48.113.254,DEV-NEW-95713,2026-03-04T16:14:00,False,Bucharest,True,5
SESS-000144,ACCT-00140,233.191.174.38,DEV-1748,2026-03-04T14:18:00,False,Seattle,True,1
SESS-000145,ACCT-00019,247.249.6.165,DEV-NEW-12519,2026-03-04T19:54:00,False,Shenzhen,True,3
SESS-000146,ACCT-00019,123.134.22.200,DEV-4958,2026-03-04T20:59:00,False,Atlanta,True,1
SESS-000147,ACCT-00178,170.99.147.79,DEV-7143,2026-03-04T13:26:00,False,Houston,True,0
SESS-000148,ACCT-00001,97.80.171.84,DEV-1131,2026-03-04T21:38:00,False,Houston,True,0
SESS-000149,ACCT-00163,19.252.108.253,DEV-7217,2026-03-04T06:22:00,False,Seattle,True,1
SESS-000150,ACCT-00034,74.54.235.138,DEV-5174,2026-03-04T12:16:00,False,Chicago,True,0
SESS-000151,ACCT-00161,180.76.112.203,DEV-4626,2026-03-05T01:32:00,False,Miami,True,1
SESS-000152,ACCT-00025,147.20.215.215,DEV-NEW-98705,2026-03-04T07:05:00,True,Lagos,True,3
SESS-000153,ACCT-00164,143.211.129.63,DEV-1228,2026-03-05T00:27:00,False,Chicago,True,0
SESS-000154,ACCT-00023,57.69.3.73,DEV-6480,2026-03-04T21:09:00,False,Atlanta,True,1
SESS-000155,ACCT-00194,143.230.165.220,DEV-4048,2026-03-05T01:12:00,False,Los Angeles,True,0
SESS-000156,ACCT-00152,80.85.202.12,DEV-4783,2026-03-04T20:27:00,False,Houston,True,1
SESS-000157,ACCT-00172,205.4.72.118,DEV-7062,2026-03-04T12:06:00,False,Seattle,True,0
SESS-000158,ACCT-00020,228.12.64.1,DEV-8289,2026-03-04T21:48:00,False,Los Angeles,True,0
SESS-000159,ACCT-00089,183.3.92.49,DEV-8068,2026-03-04T13:42:00,False,Chicago,True,0
SESS-000160,ACCT-00166,44.34.180.233,DEV-9592,2026-03-05T04:32:00,False,Los Angeles,True,1
SESS-000161,ACCT-00186,145.48.222.28,DEV-NEW-24688,2026-03-04T18:29:00,False,Unknown,True,8
SESS-000162,ACCT-00086,187.160.237.177,DEV-8707,2026-03-04T08:47:00,False,Chicago,True,0
SESS-000163,ACCT-00098,182.25.173.235,DEV-4872,2026-03-04T07:31:00,False,Atlanta,True,0
SESS-000164,ACCT-00018,156.79.245.231,DEV-3824,2026-03-04T18:48:00,False,Boston,True,1
SESS-000165,ACCT-00085,222.27.49.132,DEV-3262,2026-03-04T16:36:00,False,Chicago,True,1
SESS-000166,ACCT-00042,142.109.150.138,DEV-NEW-26706,2026-03-04T12:03:00,True,Moscow,True,5
SESS-000167,ACCT-00016,72.249.142.168,DEV-4463,2026-03-04T15:28:00,False,Chicago,True,0
SESS-000168,ACCT-00017,148.100.5.173,DEV-3073,2026-03-04T18:17:00,False,New York,True,0
SESS-000169,ACCT-00010,71.76.112.219,DEV-3149,2026-03-04T07:43:00,False,Chicago,True,1
SESS-000170,ACCT-00128,179.52.124.96,DEV-4177,2026-03-04T10:20:00,False,New York,True,0
SESS-000171,ACCT-00129,227.24.208.65,DEV-7485,2026-03-04T17:27:00,False,Houston,True,0
SESS-000172,ACCT-00175,89.118.225.117,DEV-8530,2026-03-04T07:57:00,False,Seattle,True,1
SESS-000173,ACCT-00150,58.67.36.176,DEV-1375,2026-03-05T00:20:00,False,Chicago,True,0
SESS-000174,ACCT-00107,251.37.240.77,DEV-7195,2026-03-05T05:24:00,False,Dallas,True,0
SESS-000175,ACCT-00041,56.61.14.68,DEV-5062,2026-03-05T00:07:00,False,Boston,True,1
SESS-000176,ACCT-00018,42.77.41.206,DEV-4326,2026-03-04T19:22:00,False,Los Angeles,True,1
SESS-000177,ACCT-00125,94.207.188.249,DEV-NEW-64746,2026-03-04T07:54:00,False,Shenzhen,True,3
SESS-000178,ACCT-00099,239.78.43.147,DEV-9390,2026-03-04T19:26:00,False,Denver,True,1
SESS-000179,ACCT-00093,74.130.153.168,DEV-NEW-14741,2026-03-05T01:50:00,False,Shenzhen,True,9
SESS-000180,ACCT-00051,198.96.115.146,DEV-7829,2026-03-05T02:38:00,False,Seattle,True,0
SESS-000181,ACCT-00078,43.232.97.34,DEV-3767,2026-03-04T18:51:00,False,Denver,True,0
SESS-000182,ACCT-00112,23.151.75.66,DEV-4546,2026-03-04T10:00:00,False,Denver,True,0
SESS-000183,ACCT-00190,143.164.136.173,DEV-3478,2026-03-05T04:20:00,False,Los Angeles,True,0
SESS-000184,ACCT-00137,244.50.208.38,DEV-4933,2026-03-05T02:16:00,False,Miami,True,0
SESS-000185,ACCT-00169,98.134.112.52,DEV-6551,2026-03-05T05:18:00,False,Houston,True,0
SESS-000186,ACCT-00185,243.235.95.228,DEV-6990,2026-03-04T15:36:00,False,New York,True,1
SESS-000187,ACCT-00137,67.103.17.208,DEV-4946,2026-03-04T14:22:00,False,Los Angeles,True,0
SESS-000188,ACCT-00181,136.255.207.8,DEV-7125,2026-03-05T04:49:00,False,Miami,True,1
SESS-000189,ACCT-00120,235.137.255.85,DEV-8430,2026-03-04T19:19:00,False,Denver,True,1
SESS-000190,ACCT-00185,86.102.184.248,DEV-4930,2026-03-05T03:41:00,False,Denver,True,1
SESS-000191,ACCT-00145,101.197.195.247,DEV-2041,2026-03-04T15:14:00,False,Denver,True,0
SESS-000192,ACCT-00072,88.146.189.6,DEV-9773,2026-03-04T12:02:00,False,New York,True,1
SESS-000193,ACCT-00159,131.44.174.48,DEV-7538,2026-03-04T16:27:00,False,Dallas,True,0
SESS-000194,ACCT-00083,148.195.203.78,DEV-8318,2026-03-04T18:40:00,False,Chicago,True,0
SESS-000195,ACCT-00062,35.122.188.199,DEV-NEW-87136,2026-03-04T15:25:00,True,Lagos,True,9
SESS-000196,ACCT-00032,14.135.100.64,DEV-3579,2026-03-04T15:45:00,False,Denver,True,0
SESS-000197,ACCT-00078,55.28.231.146,DEV-7760,2026-03-04T16:32:00,False,Houston,True,1
SESS-000198,ACCT-00058,232.9.15.137,DEV-2998,2026-03-05T05:14:00,False,Atlanta,True,1
SESS-000199,ACCT-00043,21.188.228.24,DEV-5601,2026-03-04T10:06:00,False,Seattle,True,0
SESS-000200,ACCT-00054,72.90.221.228,DEV-9281,2026-03-05T04:27:00,False,Atlanta,True,1
SESS-000201,ACCT-00069,228.255.24.29,DEV-9146,2026-03-05T04:12:00,False,Houston,True,0
SESS-000202,ACCT-00166,7.210.174.225,DEV-3418,2026-03-05T05:05:00,False,Houston,True,1
SESS-000203,ACCT-00119,111.204.165.105,DEV-4085,2026-03-05T01:42:00,False,Houston,True,1
SESS-000204,ACCT-00001,166.23.182.209,DEV-3498,2026-03-04T08:06:00,False,Atlanta,True,0
SESS-000205,ACCT-00007,84.23.18.7,DEV-3490,2026-03-04T18:32:00,False,Atlanta,True,0
SESS-000206,ACCT-00187,48.163.237.170,DEV-4192,2026-03-04T16:33:00,False,Los Angeles,True,1
SESS-000207,ACCT-00007,248.63.111.196,DEV-7520,2026-03-04T13:44:00,False,Boston,True,0
SESS-000208,ACCT-00127,51.62.101.97,DEV-6666,2026-03-04T07:11:00,False,Seattle,True,0
SESS-000209,ACCT-00133,233.13.95.148,DEV-8940,2026-03-04T12:00:00,False,Houston,True,1
SESS-000210,ACCT-00033,91.109.120.38,DEV-3768,2026-03-05T03:00:00,False,Chicago,True,1
SESS-000211,ACCT-00059,229.89.0.74,DEV-6957,2026-03-04T12:29:00,False,Atlanta,True,0
SESS-000212,ACCT-00091,109.218.44.130,DEV-6734,2026-03-04T13:44:00,False,New York,True,1
SESS-000213,ACCT-00102,142.235.23.131,DEV-4070,2026-03-04T07:40:00,False,Denver,True,1
SESS-000214,ACCT-00031,213.102.195.10,DEV-2616,2026-03-04T11:24:00,False,New York,True,1
SESS-000215,ACCT-00032,91.113.93.181,DEV-2468,2026-03-04T09:24:00,False,Atlanta,True,1
SESS-000216,ACCT-00182,221.132.206.123,DEV-4281,2026-03-05T00:13:00,False,Seattle,True,1
SESS-000217,ACCT-00193,54.110.78.37,DEV-3644,2026-03-04T10:57:00,False,Boston,True,0
SESS-000218,ACCT-00163,75.129.78.89,DEV-3527,2026-03-05T02:44:00,False,Chicago,True,0
SESS-000219,ACCT-00188,15.193.93.211,DEV-6530,2026-03-04T19:49:00,False,Houston,True,1
SESS-000220,ACCT-00168,63.245.125.18,DEV-NEW-94902,2026-03-04T19:17:00,False,Lagos,True,7
SESS-000221,ACCT-00102,71.53.120.2,DEV-8955,2026-03-04T22:47:00,False,Seattle,True,0
SESS-000222,ACCT-00144,168.165.76.4,DEV-2175,2026-03-04T10:09:00,False,Houston,True,1
SESS-000223,ACCT-00045,131.146.204.59,DEV-8758,2026-03-04T07:57:00,False,Seattle,True,1
SESS-000224,ACCT-00017,203.243.23.93,DEV-6217,2026-03-04T15:26:00,False,Miami,True,0
SESS-000225,ACCT-00045,18.188.44.110,DEV-5385,2026-03-05T04:31:00,False,Los Angeles,True,0
SESS-000226,ACCT-00145,88.168.219.70,DEV-1277,2026-03-05T04:58:00,False,Dallas,True,0
SESS-000227,ACCT-00148,253.108.164.116,DEV-9964,2026-03-05T02:13:00,False,Atlanta,True,1
SESS-000228,ACCT-00048,208.70.9.65,DEV-NEW-32115,2026-03-04T06:01:00,False,Shenzhen,True,3
SESS-000229,ACCT-00019,128.49.69.187,DEV-2471,2026-03-05T04:15:00,False,Chicago,True,1
SESS-000230,ACCT-00019,63.220.206.119,DEV-9715,2026-03-05T01:30:00,False,Dallas,True,1
SESS-000231,ACCT-00104,122.110.37.43,DEV-NEW-65884,2026-03-04T23:51:00,False,Shenzhen,True,6
SESS-000232,ACCT-00021,34.224.199.173,DEV-1463,2026-03-04T12:19:00,False,Atlanta,True,1
SESS-000233,ACCT-00179,137.243.215.91,DEV-4886,2026-03-05T00:06:00,False,Houston,True,1
SESS-000234,ACCT-00052,162.195.168.80,DEV-4086,2026-03-04T09:07:00,False,New York,True,1
SESS-000235,ACCT-00047,12.81.61.151,DEV-2134,2026-03-04T10:56:00,False,Seattle,True,0
SESS-000236,ACCT-00199,70.144.233.205,DEV-5654,2026-03-04T18:54:00,False,Atlanta,True,0
SESS-000237,ACCT-00183,108.237.202.79,DEV-NEW-50525,2026-03-04T10:47:00,False,Unknown,True,9
SESS-000238,ACCT-00128,115.230.158.227,DEV-2458,2026-03-05T01:32:00,False,Denver,True,0
SESS-000239,ACCT-00099,177.17.131.220,DEV-6416,2026-03-04T20:33:00,False,New York,True,0
SESS-000240,ACCT-00105,179.112.240.51,DEV-1616,2026-03-04T16:44:00,False,Dallas,True,1
SESS-000241,ACCT-00070,48.237.225.21,DEV-2800,2026-03-05T03:02:00,False,Dallas,True,1
SESS-000242,ACCT-00036,58.164.105.13,DEV-7077,2026-03-04T18:58:00,False,Dallas,True,1
SESS-000243,ACCT-00185,90.56.82.136,DEV-NEW-31115,2026-03-04T18:33:00,False,Shenzhen,True,6
SESS-000244,ACCT-00110,219.160.148.235,DEV-9593,2026-03-04T08:40:00,False,Dallas,True,1
SESS-000245,ACCT-00157,106.222.126.77,DEV-6413,2026-03-04T15:36:00,False,Miami,True,1
SESS-000246,ACCT-00191,202.37.156.157,DEV-2987,2026-03-04T14:47:00,False,Denver,True,0
SESS-000247,ACCT-00193,71.230.145.58,DEV-5417,2026-03-04T14:49:00,False,Denver,True,1
SESS-000248,ACCT-00005,215.87.74.58,DEV-1782,2026-03-05T05:04:00,False,Dallas,True,1
SESS-000249,ACCT-00129,186.244.111.254,DEV-9735,2026-03-05T02:39:00,False,Boston,True,1
SESS-000250,ACCT-00026,248.4.228.34,DEV-2002,2026-03-04T09:32:00,False,Chicago,True,0
SESS-000251,ACCT-00123,84.154.178.50,DEV-5703,2026-03-04T22:20:00,False,Denver,True,1
SESS-000252,ACCT-00087,34.64.19.63,DEV-1166,2026-03-05T01:59:00,False,New York,True,1
SESS-000253,ACCT-00072,98.32.75.186,DEV-4660,2026-03-04T16:23:00,False,Dallas,True,0
SESS-000254,ACCT-00008,28.69.58.53,DEV-8560,2026-03-04T18:08:00,False,Seattle,True,1
SESS-000255,ACCT-00092,101.97.169.150,DEV-6527,2026-03-05T02:18:00,False,Atlanta,True,0
