txn_id,account_id,amount,merchant,category,timestamp,channel,location,is_flagged,risk_score,flag_reason
TXN-000020,ACCT-00172,450.31,CVS Pharmacy,Pharmacy,2026-03-04T16:27:00,atm,Los Angeles,False,0.159,
TXN-000021,ACCT-00151,114.01,Netflix,Digital Services,2026-03-04T15:48:00,mobile,New York,False,0.024,
TXN-000022,ACCT-00085,15366.91,ATM Withdrawal - Foreign,ATM,2026-03-05T02:24:00,atm,Houston,True,0.738,mfa_change
TXN-000023,ACCT-00148,404.71,CVS Pharmacy,Pharmacy,2026-03-04T11:18:00,web,Los Angeles,False,0.166,
TXN-000024,ACCT-00106,338.32,Amazon,Online Retail,2026-03-04T21:44:00,mobile,New York,False,0.362,
TXN-000025,ACCT-00028,270.46,Shell Gas,Gas Station,2026-03-04T14:15:00,web,Denver,False,0.12,
TXN-000026,ACCT-00020,53.46,Uber,Transportation,2026-03-04T16:04:00,mobile,Los Angeles,False,0.224,
TXN-000027,ACCT-00055,86.5,Amazon,Online Retail,2026-03-04T17:03:00,mobile,Denver,False,0.355,
TXN-000028,ACCT-00074,332.63,Uber,Transportation,2026-03-04T14:28:00,atm,Chicago,False,0.436,
TXN-000029,ACCT-00149,375.25,Amazon,Online Retail,2026-03-05T03:56:00,mobile,New York,False,0.415,
TXN-000030,ACCT-00136,44.66,Uber,Transportation,2026-03-05T04:18:00,web,Los Angeles,False,0.389,
TXN-000031,ACCT-00104,29788.11,ATM Withdrawal - Foreign,ATM,2026-03-04T10:47:00,mobile,Dallas,True,0.822,mfa_change
TXN-000032,ACCT-00145,106.11,Starbucks,Food & Drink,2026-03-04T17:03:00,branch,Houston,False,0.306,
TXN-000033,ACCT-00077,9.61,Walmart,Retail,2026-03-05T02:21:00,mobile,Los Angeles,False,0.127,
TXN-000034,ACCT-00090,187.92,Shell Gas,Gas Station,2026-03-05T02:32:00,web,Atlanta,False,0.279,
TXN-000035,ACCT-00168,153.19,Uber,Transportation,2026-03-04T17:01:00,mobile,Chicago,False,0.057,
TXN-000036,ACCT-00142,304.39,Starbucks,Food & Drink,2026-03-05T07:27:00,branch,Houston,False,0.126,
TXN-000037,ACCT-00126,50.69,Amazon,Online Retail,2026-03-04T09:30:00,atm,Miami,True,0.349,new_merchant
TXN-000038,ACCT-00068,278.08,CVS Pharmacy,Pharmacy,2026-03-04T08:19:00,atm,Boston,False,0.426,
TXN-000039,ACCT-00177,22.83,Uber,Transportation,2026-03-05T02:51:00,branch,Dallas,False,0.066,
TXN-000040,ACCT-00079,449.97,Amazon,Online Retail,2026-03-05T06:45:00,web,Houston,False,0.353,
TXN-000041,ACCT-00105,463.25,Best Buy,Electronics,2026-03-04T14:02:00,web,Chicago,False,0.021,
TXN-000042,ACCT-00189,402.11,Home Depot,Home Improvement,2026-03-04T13:26:00,web,Miami,False,0.058,
TXN-000043,ACCT-00010,103.79,Shell Gas,Gas Station,2026-03-04T18:25:00,atm,Seattle,False,0.393,
TXN-000044,ACCT-00058,21126.37,ATM Withdrawal - Foreign,ATM,2026-03-04T17:31:00,branch,Los Angeles,True,0.802,mfa_change
TXN-000045,ACCT-00103,168.92,Uber,Transportation,2026-03-04T16:54:00,mobile,Los Angeles,False,0.434,
TXN-000046,ACCT-00068,18592.98,Luxury Watches Inc,Luxury Goods,2026-03-05T04:41:00,branch,Denver,True,0.985,velocity_spike
TXN-000047,ACCT-00099,131.09,Shell Gas,Gas Station,2026-03-05T01:44:00,atm,New York,False,0.247,
TXN-000048,ACCT-00185,185.29,Shell Gas,Gas Station,2026-03-05T05:16:00,mobile,Seattle,False,0.383,
TXN-000049,ACCT-00185,158.1,Uber,Transportation,2026-03-04T21:44:00,atm,Seattle,False,0.254,
TXN-000050,ACCT-00050,340.27,Home Depot,Home Improvement,2026-03-05T03:25:00,web,Dallas,False,0.251,
TXN-000051,ACCT-00001,217.79,Shell Gas,Gas Station,2026-03-04T23:04:00,branch,Atlanta,False,0.104,
TXN-000052,ACCT-00122,331.13,Best Buy,Electronics,2026-03-05T06:39:00,branch,Boston,False,0.157,
TXN-000053,ACCT-00193,116.2,Starbucks,Food & Drink,2026-03-04T08:50:00,web,Chicago,True,0.443,mfa_change
TXN-000054,ACCT-00197,44534.57,Luxury Watches Inc,Luxury Goods,2026-03-05T00:52:00,web,Denver,True,0.816,geo_anomaly
TXN-000055,ACCT-00168,390.32,Walmart,Retail,2026-03-05T07:45:00,web,Chicago,False,0.032,
TXN-000056,ACCT-00064,230.95,Walmart,Retail,2026-03-05T03:04:00,atm,Boston,False,0.428,
TXN-000057,ACCT-00114,216.24,Uber,Transportation,2026-03-05T00:12:00,atm,Chicago,False,0.341,
TXN-000058,ACCT-00164,244.88,Uber,Transportation,2026-03-04T23:00:00,web,Miami,False,0.136,
TXN-000059,ACCT-00070,44.89,Uber,Transportation,2026-03-04T21:04:00,web,Houston,False,0.321,
TXN-000060,ACCT-00017,273.59,Target,Retail,2026-03-04T15:03:00,atm,New York,False,0.181,
TXN-000061,ACCT-00198,429.08,Amazon,Online Retail,2026-03-04T08:12:00,atm,Atlanta,False,0.141,
TXN-000062,ACCT-00100,271.42,Home Depot,Home Improvement,2026-03-04T15:29:00,web,Atlanta,False,0.224,
TXN-000063,ACCT-00100,363.47,Home Depot,Home Improvement,2026-03-05T05:14:00,atm,Chicago,False,0.409,
TXN-000064,ACCT-00152,46.55,Amazon,Online Retail,2026-03-04T23:45:00,atm,Chicago,False,0.124,
TXN-000065,ACCT-00084,172.06,Target,Retail,2026-03-04T22:23:00,atm,Miami,False,0.046,
TXN-000066,ACCT-00005,499.95,Amazon,Online Retail,2026-03-05T06:11:00,branch,Houston,False,0.431,
TXN-000067,ACCT-00011,103.68,Shell Gas,Gas Station,2026-03-04T13:12:00,mobile,Dallas,False,0.218,
TXN-000068,ACCT-00030,235.19,Shell Gas,Gas Station,2026-03-04T13:43:00,branch,Seattle,False,0.434,
TXN-000069,ACCT-00184,48306.6,Wire Transfer - Switzerland,Wire Transfer,2026-03-04T08:52:00,mobile,Dallas,True,0.969,mfa_change
TXN-000070,ACCT-00174,201.34,Home Depot,Home Improvement,2026-03-05T04:12:00,web,Los Angeles,False,0.286,
TXN-000071,ACCT-00027,425.9,Starbucks,Food & Drink,2026-03-04T09:24:00,mobile,Dallas,False,0.198,
TXN-000072,ACCT-00095,2607.3,Online Casino Royal,Gambling,2026-03-04T11:36:00,atm,Atlanta,True,0.826,amount_threshold
TXN-000073,ACCT-00163,355.12,CVS Pharmacy,Pharmacy,2026-03-05T01:48:00,atm,Chicago,False,0.129,
TXN-000074,ACCT-00138,220.61,CVS Pharmacy,Pharmacy,2026-03-04T16:22:00,branch,Seattle,False,0.048,
TXN-000075,ACCT-00116,287.08,CVS Pharmacy,Pharmacy,2026-03-04T08:58:00,atm,Seattle,False,0.153,
TXN-000076,ACCT-00125,173.47,Starbucks,Food & Drink,2026-03-04T08:20:00,branch,Boston,False,0.094,
TXN-000077,ACCT-00062,279.81,CVS Pharmacy,Pharmacy,2026-03-05T06:02:00,web,Atlanta,False,0.207,
TXN-000078,ACCT-00005,21411.25,ATM Withdrawal - Foreign,ATM,2026-03-05T06:39:00,web,Miami,True,0.869,device_mismatch
TXN-000079,ACCT-00142,498.33,Home Depot,Home Improvement,2026-03-05T07:59:00,branch,Seattle,False,0.145,
TXN-000080,ACCT-00060,161.2,Shell Gas,Gas Station,2026-03-04T15:23:00,web,Houston,False,0.132,
TXN-000081,ACCT-00151,300.41,Uber,Transportation,2026-03-04T18:06:00,mobile,Houston,False,0.089,
TXN-000082,ACCT-00004,140.78,Best Buy,Electronics,2026-03-04T17:58:00,mobile,Boston,False,0.066,
TXN-000083,ACCT-00193,289.16,Amazon,Online Retail,2026-03-04T23:02:00,atm,Atlanta,False,0.435,
TXN-000084,ACCT-00065,61.47,CVS Pharmacy,Pharmacy,2026-03-05T00:47:00,mobile,Denver,False,0.287,
TXN-000085,ACCT-00014,474.82,Netflix,Digital Services,2026-03-04T12:02:00,mobile,Houston,False,0.193,
TXN-000086,ACCT-00153,388.97,Shell Gas,Gas Station,2026-03-04T23:06:00,atm,Atlanta,False,0.269,
TXN-000087,ACCT-00110,34.81,Netflix,Digital Services,2026-03-05T05:21:00,mobile,Houston,False,0.301,
TXN-000088,ACCT-00041,42.16,Uber,Transportation,2026-03-04T23:22:00,mobile,Denver,False,0.217,
TXN-000089,ACCT-00009,352.98,Starbucks,Food & Drink,2026-03-05T07:27:00,atm,Los Angeles,False,0.126,
TXN-000090,ACCT-00161,215.44,Shell Gas,Gas Station,2026-03-04T17:04:00,web,Chicago,False,0.041,
TXN-000091,ACCT-00043,375.73,Netflix,Digital Services,2026-03-04T12:14:00,branch,Atlanta,False,0.144,
TXN-000092,ACCT-00104,272.29,Uber,Transportation,2026-03-05T04:24:00,atm,Los Angeles,True,0.2,amount_threshold
TXN-000093,ACCT-00155,118.32,Walmart,Retail,2026-03-05T03:40:00,mobile,Miami,True,0.343,device_mismatch
TXN-000094,ACCT-00133,94.84,Starbucks,Food & Drink,2026-03-04T11:06:00,atm,Atlanta,False,0.19,
TXN-000095,ACCT-00083,168.25,Best Buy,Electronics,2026-03-05T06:36:00,atm,Miami,False,0.368,
TXN-000096,ACCT-00141,17096.82,Wire Transfer - Nigeria,Wire Transfer,2026-03-04T21:47:00,branch,Los Angeles,True,0.951,cross_channel
TXN-000097,ACCT-00001,233.68,Uber,Transportation,2026-03-05T01:41:00,mobile,Houston,False,0.343,
TXN-000098,ACCT-00161,105.76,Amazon,Online Retail,2026-03-04T22:57:00,web,Miami,False,0.223,
TXN-000099,ACCT-00008,400.66,Netflix,Digital Services,2026-03-05T02:48:00,web,Miami,True,0.19,geo_anomaly
TXN-000100,ACCT-00030,325.62,Walmart,Retail,2026-03-04T17:57:00,web,Atlanta,False,0.13,
TXN-000101,ACCT-00124,231.11,Shell Gas,Gas Station,2026-03-04T14:30:00,web,Denver,False,0.234,
TXN-000102,ACCT-00035,387.47,Starbucks,Food & Drink,2026-03-05T01:19:00,atm,Seattle,False,0.011,
TXN-000103,ACCT-00186,292.06,Netflix,Digital Services,2026-03-04T23:14:00,atm,Chicago,False,0.162,
TXN-000104,ACCT-00142,230.4,Home Depot,Home Improvement,2026-03-05T07:48:00,branch,Houston,False,0.179,
TXN-000105,ACCT-00199,373.63,Target,Retail,2026-03-05T06:39:00,atm,Denver,False,0.297,
TXN-000106,ACCT-00039,67.49,Amazon,Online Retail,2026-03-04T23:01:00,branch,Los Angeles,False,0.411,
TXN-000107,ACCT-00004,436.11,Home Depot,Home Improvement,2026-03-05T00:01:00,web,Los Angeles,False,0.127,
TXN-000108,ACCT-00160,426.62,Walmart,Retail,2026-03-05T05:23:00,atm,Seattle,False,0.344,
TXN-000109,ACCT-00139,13268.97,Wire Transfer - Nigeria,Wire Transfer,2026-03-04T11:05:00,branch,Houston,True,0.826,velocity_spike
TXN-000110,ACCT-00195,224.62,Walmart,Retail,2026-03-04T09:34:00,branch,New York,False,0.035,
TXN-000111,ACCT-00092,125.88,Best Buy,Electronics,2026-03-05T07:16:00,atm,Dallas,False,0.085,
TXN-000112,ACCT-00021,311.76,Home Depot,Home Improvement,2026-03-05T03:54:00,web,Atlanta,False,0.213,
TXN-000113,ACCT-00066,449.96,Amazon,Online Retail,2026-03-05T07:07:00,atm,Miami,False,0.042,
TXN-000114,ACCT-00089,321.27,Starbucks,Food & Drink,2026-03-04T23:35:00,atm,Miami,False,0.098,
TXN-000115,ACCT-00099,122.42,Walmart,Retail,2026-03-04T18:05:00,branch,Dallas,False,0.14,
TXN-000116,ACCT-00169,285.13,Amazon,Online Retail,2026-03-05T00:57:00,mobile,Dallas,False,0.407,
TXN-000117,ACCT-00199,401.96,Netflix,Digital Services,2026-03-05T05:11:00,web,Houston,False,0.342,
TXN-000118,ACCT-00197,315.98,Best Buy,Electronics,2026-03-04T23:02:00,mobile,Miami,True,0.171,geo_anomaly
TXN-000119,ACCT-00024,375.0,Target,Retail,2026-03-04T12:30:00,web,Houston,False,0.396,
TXN-000120,ACCT-00094,416.08,Starbucks,Food & Drink,2026-03-04T18:04:00,branch,Atlanta,False,0.159,
TXN-000121,ACCT-00030,74.67,Walmart,Retail,2026-03-05T03:01:00,web,Denver,False,0.358,
TXN-000122,ACCT-00004,230.12,Walmart,Retail,2026-03-04T21:00:00,branch,Dallas,False,0.424,
TXN-000123,ACCT-00028,17.39,CVS Pharmacy,Pharmacy,2026-03-04T15:33:00,branch,Dallas,False,0.29,
TXN-000124,ACCT-00119,326.37,Starbucks,Food & Drink,2026-03-04T09:32:00,mobile,Chicago,False,0.144,
TXN-000125,ACCT-00127,44588.45,ATM Withdrawal - Foreign,ATM,2026-03-04T23:29:00,web,Denver,True,0.808,new_merchant
TXN-000126,ACCT-00179,295.73,Home Depot,Home Improvement,2026-03-05T06:21:00,web,Denver,False,0.225,
TXN-000127,ACCT-00105,21.19,Starbucks,Food & Drink,2026-03-04T23:08:00,branch,Houston,False,0.114,
TXN-000128,ACCT-00093,28134.36,Online Casino Royal,Gambling,2026-03-04T21:35:00,branch,New York,True,0.78,velocity_spike
TXN-000129,ACCT-00117,32801.81,ATM Withdrawal - Foreign,ATM,2026-03-04T19:23:00,mobile,New York,True,0.771,geo_anomaly
TXN-000130,ACCT-00145,107.54,Uber,Transportation,2026-03-04T19:12:00,web,Houston,False,0.357,
TXN-000131,ACCT-00153,49401.31,Wire Transfer - Switzerland,Wire Transfer,2026-03-04T11:45:00,branch,Chicago,True,0.892,velocity_spike
TXN-000132,ACCT-00034,30264.94,ATM Withdrawal - Foreign,ATM,2026-03-04T17:03:00,mobile,Chicago,True,0.715,new_merchant
TXN-000133,ACCT-00108,240.74,Walmart,Retail,2026-03-05T04:15:00,branch,Boston,False,0.232,
TXN-000134,ACCT-00158,23986.04,Crypto Exchange XYZ,Cryptocurrency,2026-03-05T00:20:00,mobile,New York,True,0.946,device_mismatch
TXN-000135,ACCT-00176,5527.55,High-End Electronics Ltd,Electronics,2026-03-05T04:45:00,mobile,Seattle,True,0.743,geo_anomaly
TXN-000136,ACCT-00071,276.44,Netflix,Digital Services,2026-03-05T04:23:00,branch,Denver,False,0.21,
TXN-000137,ACCT-00155,427.13,Walmart,Retail,2026-03-04T23:24:00,web,Denver,False,0.192,
TXN-000138,ACCT-00117,159.71,Walmart,Retail,2026-03-04T20:46:00,branch,Miami,False,0.312,
TXN-000139,ACCT-00122,6475.04,Wire Transfer - Nigeria,Wire Transfer,2026-03-04T12:26:00,mobile,Seattle,True,0.861,mfa_change
TXN-000140,ACCT-00144,208.35,Walmart,Retail,2026-03-04T17:49:00,atm,New York,False,0.165,
TXN-000141,ACCT-00148,330.08,Best Buy,Electronics,2026-03-04T19:57:00,web,Los Angeles,False,0.172,
TXN-000142,ACCT-00196,404.57,Shell Gas,Gas Station,2026-03-05T06:27:00,mobile,Dallas,False,0.128,
TXN-000143,ACCT-00047,461.16,Starbucks,Food & Drink,2026-03-04T14:11:00,branch,New York,False,0.259,
TXN-000144,ACCT-00103,6404.37,Wire Transfer - Cayman Islands,Wire Transfer,2026-03-04T22:19:00,web,Denver,True,0.832,geo_anomaly
TXN-000145,ACCT-00095,389.53,Target,Retail,2026-03-04T13:18:00,mobile,New York,False,0.282,
TXN-000146,ACCT-00173,33773.06,High-End Electronics Ltd,Electronics,2026-03-04T23:05:00,atm,Dallas,True,0.82,geo_anomaly
TXN-000147,ACCT-00194,217.81,Target,Retail,2026-03-05T00:36:00,branch,Dallas,False,0.146,
TXN-000148,ACCT-00057,32.12,Netflix,Digital Services,2026-03-04T15:12:00,web,Miami,False,0.346,
TXN-000149,ACCT-00075,251.21,Amazon,Online Retail,2026-03-04T12:24:00,atm,Chicago,False,0.32,
TXN-000150,ACCT-00129,40.68,Target,Retail,2026-03-04T08:38:00,mobile,Denver,False,0.044,
TXN-000151,ACCT-00081,205.19,Netflix,Digital Services,2026-03-04T11:55:00,atm,Miami,False,0.435,
TXN-000152,ACCT-00044,232.75,Netflix,Digital Services,2026-03-04T22:54:00,branch,Los Angeles,False,0.117,
TXN-000153,ACCT-00151,200.9,Walmart,Retail,2026-03-04T15:33:00,branch,Seattle,False,0.084,
TXN-000154,ACCT-00131,257.43,Uber,Transportation,2026-03-05T06:01:00,branch,Seattle,False,0.114,
TXN-000155,ACCT-00038,303.19,Best Buy,Electronics,2026-03-05T05:26:00,mobile,Chicago,False,0.342,
TXN-000156,ACCT-00195,323.28,Netflix,Digital Services,2026-03-04T13:09:00,branch,Seattle,False,0.216,
TXN-000157,ACCT-00162,297.75,Starbucks,Food & Drink,2026-03-04T10:31:00,branch,Boston,False,0.209,
TXN-000158,ACCT-00015,42.98,Starbucks,Food & Drink,2026-03-05T04:16:00,mobile,Dallas,False,0.214,
TXN-000159,ACCT-00142,227.62,Amazon,Online Retail,2026-03-05T04:39:00,web,Seattle,False,0.076,
TXN-000160,ACCT-00016,491.28,Target,Retail,2026-03-05T06:03:00,mobile,Boston,False,0.119,
TXN-000161,ACCT-00113,263.76,Uber,Transportation,2026-03-04T20:43:00,web,Seattle,False,0.18,
TXN-000162,ACCT-00199,30.92,Netflix,Digital Services,2026-03-04T19:15:00,branch,Los Angeles,False,0.308,
TXN-000163,ACCT-00073,437.27,Netflix,Digital Services,2026-03-05T03:53:00,branch,Los Angeles,False,0.413,
TXN-000164,ACCT-00080,68.83,Home Depot,Home Improvement,2026-03-05T03:04:00,mobile,Miami,False,0.358,
TXN-000165,ACCT-00033,51.26,Uber,Transportation,2026-03-04T20:21:00,atm,Boston,True,0.146,geo_anomaly
TXN-000166,ACCT-00088,100.04,CVS Pharmacy,Pharmacy,2026-03-04T10:38:00,web,Chicago,False,0.357,
TXN-000167,ACCT-00130,23.69,Uber,Transportation,2026-03-04T12:28:00,branch,Dallas,False,0.078,
TXN-000168,ACCT-00047,405.48,Netflix,Digital Services,2026-03-04T09:29:00,web,Atlanta,False,0.308,
TXN-000169,ACCT-00061,146.04,Netflix,Digital Services,2026-03-05T02:13:00,atm,Houston,False,0.435,
TXN-000170,ACCT-00121,187.08,Shell Gas,Gas Station,2026-03-04T17:37:00,atm,Atlanta,False,0.231,
TXN-000171,ACCT-00108,401.62,Shell Gas,Gas Station,2026-03-04T09:46:00,web,Miami,False,0.395,
TXN-000172,ACCT-00142,426.33,Uber,Transportation,2026-03-04T13:28:00,branch,Los Angeles,False,0.408,
TXN-000173,ACCT-00038,473.47,Walmart,Retail,2026-03-04T19:55:00,web,Atlanta,False,0.193,
TXN-000174,ACCT-00102,196.15,Shell Gas,Gas Station,2026-03-04T15:39:00,mobile,Seattle,True,0.42,cross_channel
TXN-000175,ACCT-00183,73.11,Best Buy,Electronics,2026-03-05T07:45:00,branch,Atlanta,False,0.344,
TXN-000176,ACCT-00121,453.4,Amazon,Online Retail,2026-03-04T15:21:00,mobile,Miami,False,0.251,
TXN-000177,ACCT-00187,60.04,Home Depot,Home Improvement,2026-03-04T18:16:00,branch,Houston,False,0.115,
TXN-000178,ACCT-00164,36.09,CVS Pharmacy,Pharmacy,2026-03-05T02:17:00,atm,Dallas,True,0.237,geo_anomaly
TXN-000179,ACCT-00184,5.77,Home Depot,Home Improvement,2026-03-05T03:28:00,branch,Houston,False,0.302,
TXN-000180,ACCT-00022,38.5,Target,Retail,2026-03-05T00:02:00,mobile,Denver,True,0.18,amount_threshold
TXN-000181,ACCT-00065,395.32,Target,Retail,2026-03-05T06:25:00,branch,Houston,False,0.349,
TXN-000182,ACCT-00189,26.95,Best Buy,Electronics,2026-03-05T07:22:00,branch,Chicago,False,0.316,
TXN-000183,ACCT-00162,36.23,Best Buy,Electronics,2026-03-04T18:00:00,atm,New York,False,0.358,
TXN-000184,ACCT-00011,260.11,Starbucks,Food & Drink,2026-03-04T09:14:00,atm,Miami,False,0.094,
TXN-000185,ACCT-00092,433.57,Amazon,Online Retail,2026-03-04T12:14:00,branch,Miami,False,0.202,
TXN-000186,ACCT-00103,172.82,Home Depot,Home Improvement,2026-03-05T07:37:00,web,Atlanta,False,0.417,
TXN-000187,ACCT-00133,364.91,Walmart,Retail,2026-03-05T04:33:00,mobile,Denver,False,0.089,
TXN-000188,ACCT-00076,167.32,Walmart,Retail,2026-03-04T23:13:00,branch,Miami,False,0.197,
TXN-000189,ACCT-00177,25.97,CVS Pharmacy,Pharmacy,2026-03-04T22:50:00,branch,Dallas,False,0.441,
TXN-000190,ACCT-00015,19438.93,Luxury Watches Inc,Luxury Goods,2026-03-04T12:52:00,web,New York,True,0.946,new_merchant
TXN-000191,ACCT-00113,13327.78,Wire Transfer - Nigeria,Wire Transfer,2026-03-04T21:04:00,branch,Seattle,True,0.975,velocity_spike
TXN-000192,ACCT-00155,474.67,CVS Pharmacy,Pharmacy,2026-03-04T10:37:00,branch,Atlanta,False,0.243,
TXN-000193,ACCT-00102,128.56,Starbucks,Food & Drink,2026-03-04T14:21:00,mobile,New York,False,0.18,
TXN-000194,ACCT-00144,35793.81,Crypto Exchange XYZ,Cryptocurrency,2026-03-04T17:44:00,web,Dallas,True,0.901,device_mismatch
TXN-000195,ACCT-00052,228.76,Walmart,Retail,2026-03-05T07:16:00,atm,Los Angeles,False,0.444,
TXN-000196,ACCT-00171,277.25,Walmart,Retail,2026-03-04T13:22:00,branch,Miami,False,0.418,
TXN-000197,ACCT-00164,256.83,Target,Retail,2026-03-04T12:44:00,mobile,Houston,False,0.227,
TXN-000198,ACCT-00093,236.37,Target,Retail,2026-03-04T10:56:00,web,Dallas,False,0.185,
TXN-000199,ACCT-00184,208.34,Uber,Transportation,2026-03-04T10:31:00,atm,Dallas,False,0.149,
TXN-000200,ACCT-00019,175.53,Uber,Transportation,2026-03-04T22:46:00,web,Chicago,False,0.392,
TXN-000201,ACCT-00032,86.51,Starbucks,Food & Drink,2026-03-04T19:48:00,branch,Houston,False,0.238,
TXN-000202,ACCT-00073,102.17,Starbucks,Food & Drink,2026-03-05T05:20:00,branch,Chicago,False,0.245,
TXN-000203,ACCT-00129,471.1,Netflix,Digital Services,2026-03-05T06:29:00,web,Chicago,False,0.407,
TXN-000204,ACCT-00087,25.39,Netflix,Digital Services,2026-03-04T09:33:00,mobile,Los Angeles,False,0.349,
TXN-000205,ACCT-00068,211.21,Netflix,Digital Services,2026-03-05T05:24:00,mobile,Atlanta,False,0.292,
TXN-000206,ACCT-00078,152.23,Home Depot,Home Improvement,2026-03-04T13:23:00,mobile,New York,False,0.223,
TXN-000207,ACCT-00053,159.73,Best Buy,Electronics,2026-03-04T21:36:00,branch,Seattle,False,0.173,
TXN-000208,ACCT-00144,24390.68,ATM Withdrawal - Foreign,ATM,2026-03-04T16:27:00,branch,Atlanta,True,0.741,velocity_spike
TXN-000209,ACCT-00075,211.98,Netflix,Digital Services,2026-03-05T03:43:00,web,Seattle,False,0.094,
TXN-000210,ACCT-00041,236.07,Uber,Transportation,2026-03-04T08:47:00,branch,Atlanta,False,0.183,
TXN-000211,ACCT-00118,293.76,Shell Gas,Gas Station,2026-03-04T17:36:00,mobile,New York,False,0.398,
TXN-000212,ACCT-00168,270.66,Starbucks,Food & Drink,2026-03-04T12:34:00,mobile,Denver,False,0.33,
TXN-000213,ACCT-00196,203.29,Amazon,Online Retail,2026-03-05T02:53:00,web,Seattle,False,0.18,
TXN-000214,ACCT-00116,413.53,Starbucks,Food & Drink,2026-03-04T11:18:00,mobile,Chicago,False,0.36,
TXN-000215,ACCT-00087,378.71,Target,Retail,2026-03-05T01:22:00,web,Dallas,False,0.028,
TXN-000216,ACCT-00010,402.96,Target,Retail,2026-03-05T04:41:00,atm,Chicago,False,0.072,
TXN-000217,ACCT-00157,495.35,Home Depot,Home Improvement,2026-03-04T19:28:00,branch,Dallas,False,0.234,
TXN-000218,ACCT-00126,240.07,Starbucks,Food & Drink,2026-03-04T19:18:00,mobile,Seattle,False,0.441,
TXN-000219,ACCT-00150,300.47,Amazon,Online Retail,2026-03-05T03:42:00,branch,Dallas,False,0.033,
TXN-000220,ACCT-00123,388.43,Netflix,Digital Services,2026-03-05T07:14:00,atm,Chicago,False,0.262,
TXN-000221,ACCT-00180,23169.85,Wire Transfer - Cayman Islands,Wire Transfer,2026-03-04T22:05:00,atm,Chicago,True,0.9,device_mismatch
TXN-000222,ACCT-00129,437.04,CVS Pharmacy,Pharmacy,2026-03-05T01:42:00,mobile,Chicago,False,0.153,
TXN-000223,ACCT-00170,160.31,Home Depot,Home Improvement,2026-03-05T02:11:00,web,Atlanta,False,0.166,
TXN-000224,ACCT-00198,306.99,Starbucks,Food & Drink,2026-03-04T17:31:00,web,Houston,False,0.109,
TXN-000225,ACCT-00077,346.67,Shell Gas,Gas Station,2026-03-05T00:22:00,atm,Seattle,False,0.421,
TXN-000226,ACCT-00185,288.87,Walmart,Retail,2026-03-04T19:46:00,atm,Denver,False,0.364,
TXN-000227,ACCT-00075,18625.45,Wire Transfer - Nigeria,Wire Transfer,2026-03-05T00:21:00,atm,Miami,True,0.762,cross_channel
TXN-000228,ACCT-00138,349.6,Uber,Transportation,2026-03-05T05:00:00,web,Los Angeles,False,0.115,
TXN-000229,ACCT-00013,116.71,Uber,Transportation,2026-03-04T11:25:00,web,New York,False,0.326,
TXN-000230,ACCT-00026,7.56,Best Buy,Electronics,2026-03-05T06:17:00,web,Denver,False,0.396,
TXN-000231,ACCT-00123,163.98,Starbucks,Food & Drink,2026-03-05T06:15:00,mobile,Los Angeles,False,0.245,
